date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/31/2016,15-20-37-29-54-16,15,20,37,29,54,16,15,16,20,29,37,54
2/5/2016,35-06-48-58-33-50,35,6,48,58,33,50,6,33,35,48,50,58
2/7/2016,40-55-20-13-32-23,40,55,20,13,32,23,13,20,23,32,40,55
2/12/2016,47-30-49-27-46-42,47,30,49,27,46,42,27,30,42,46,47,49
2/14/2016,27-34-42-21-11-38,27,34,42,21,11,38,11,21,27,34,38,42
2/19/2016,10-03-01-51-44-13,10,3,1,51,44,13,1,3,10,13,44,51
2/21/2016,39-33-19-21-09-55,39,33,19,21,9,55,9,19,21,33,39,55
2/26/2016,44-58-09-41-23-35,44,58,9,41,23,35,9,23,35,41,44,58
2/28/2016,10-13-23-11-07-09,10,13,23,11,7,9,7,9,10,11,13,23
3/4/2016,36-41-03-06-15-26,36,41,3,6,15,26,3,6,15,26,36,41
3/6/2016,48-37-33-34-41-50,48,37,33,34,41,50,33,34,37,41,48,50
3/11/2016,25-07-36-39-31-30,25,7,36,39,31,30,7,25,30,31,36,39
3/13/2016,27-12-01-11-29-52,27,12,1,11,29,52,1,11,12,27,29,52
3/18/2016,33-04-48-44-19-38,33,4,48,44,19,38,4,19,33,38,44,48
3/20/2016,29-08-33-46-35-21,29,8,33,46,35,21,8,21,29,33,35,46
4/1/2016,47-25-20-44-06-55,47,25,20,44,6,55,6,20,25,44,47,55
4/3/2016,36-39-33-01-11-50,36,39,33,1,11,50,1,11,33,36,39,50
4/8/2016,40-41-01-25-28-44,40,41,1,25,28,44,1,25,28,40,41,44
4/10/2016,53-48-44-04-46-11,53,48,44,4,46,11,4,11,44,46,48,53
4/15/2016,07-53-13-50-22-01,7,53,13,50,22,1,1,7,13,22,50,53
4/17/2016,34-19-33-39-06-49,34,19,33,39,6,49,6,19,33,34,39,49
4/22/2016,02-51-40-33-20-13,2,51,40,33,20,13,2,13,20,33,40,51
4/24/2016,36-35-51-38-46-30,36,35,51,38,46,30,30,35,36,38,46,51
4/29/2016,35-56-30-46-57-08,35,56,30,46,57,8,8,30,35,46,56,57
5/1/2016,27-41-15-52-39-04,27,41,15,52,39,4,4,15,27,39,41,52
5/6/2016,38-23-55-17-51-08,38,23,55,17,51,8,8,17,23,38,51,55
5/8/2016,49-52-22-01-46-41,49,52,22,1,46,41,1,22,41,46,49,52
5/13/2016,08-12-09-50-13-46,8,12,9,50,13,46,8,9,12,13,46,50
5/15/2016,41-21-13-52-36-06,41,21,13,52,36,6,6,13,21,36,41,52
5/20/2016,05-42-34-49-33-52,5,42,34,49,33,52,5,33,34,42,49,52
