temp,humidity,pressure,slot,partofday,target
82.5,84.7,29.7,1.00,1,7
84.5,78.9,29.8,1.00,1,6
84.2,74,29.8,1.00,1,8
80.3,67.6,29.8,1.00,1,8
80.2,72.3,29.7,1.00,1,7
81.9,80.8,29.7,1.00,1,6
79.6,74.5,29.7,1.00,1,1
80.1,86.7,29.8,1.00,1,2
84.2,77.7,29.7,1.00,1,1
84.7,78,29.7,1.00,1,9
83.6,76.9,29.7,1.00,1,3
81.9,63.4,29.8,1.00,1,8
81,63.2,29.8,1.00,1,5
79.6,69.1,29.8,1.00,1,1
79.1,64.8,29.8,1.00,1,5
76,65.3,29.8,1.00,1,0
75.5,71,29.8,1.00,1,6
81.5,61.7,29.8,1.00,1,6
81.5,65,29.8,1.00,1,2
80.5,74.4,29.8,1.00,1,4
81.8,73.8,29.8,1.00,1,8
78.7,62.3,29.8,1.00,1,1
81.5,73.8,29.8,1.00,1,7
81.8,64.3,29.8,1.00,1,3
79.7,70.5,29.8,1.00,1,7
82.3,66.8,29.7,1.00,1,3
82.9,77.3,29.6,1.00,1,6
83.7,79.4,29.7,1.00,1,2
77.6,93.1,29.8,1.00,1,2
81.8,81.6,29.8,1.00,1,2
84,75.9,29.8,1.00,1,8
82.3,82,29.8,1.00,1,4
79.5,74.5,29.8,1.00,1,6
81.8,72.8,29.8,1.00,1,5
80.4,73.7,29.9,1.00,1,0
79.3,78.6,29.9,1.00,1,5
80.6,69.3,29.9,1.00,1,5
80.8,68,29.9,1.00,1,1
81,65.4,29.9,1.00,1,1
80,62.6,29.9,1.00,1,3
79.1,63.3,29.9,1.00,1,2
80,62.5,29.9,1.00,1,5
79.9,71.1,29.8,1.00,1,5
80.5,66.5,29.9,1.00,1,0
80.9,70,29.8,1.00,1,1
80.7,67.3,29.9,1.00,1,7
81.2,71.6,29.8,1.00,1,5
81.2,78,29.8,1.00,1,2
82.2,67,29.8,1.00,1,0
79.4,70.4,29.8,1.00,1,5
79.1,73.7,29.9,1.00,1,9
77.9,71.6,29.9,1.00,1,0
74.5,65.6,29.9,1.00,1,7
79,67.9,29.9,1.00,1,8
78.8,65.5,29.9,1.00,1,2
77.9,66.8,29.8,1.00,1,3
79.5,70,29.8,1.00,1,2
80.2,74.4,29.8,1.00,1,6
80.6,75.2,29.8,1.00,1,1
82.8,70.4,29.8,1.00,1,1
83,73.1,29.8,1.00,1,3
82.6,72.5,29.7,1.00,1,3
82.7,64.8,29.7,1.00,1,1
80.3,78.1,29.7,1.00,1,7
83,78.8,29.7,1.00,1,3
84.2,72.5,29.8,1.00,1,9
83.2,77,29.7,1.00,1,1
82.4,81.3,29.7,1.00,1,7
83.3,70.6,29.8,1.00,1,2
81.5,69.7,29.8,1.00,1,5
81.3,66.2,29.8,1.00,1,2
81.1,72.4,29.8,1.00,1,4
78.8,64,29.8,1.00,1,8
82,64.4,29.8,1.00,1,9
82,66.1,29.8,1.00,1,1
81.7,74.3,29.8,1.00,1,7
82.7,74.6,29.8,1.00,1,2
82,74.5,29.8,1.00,1,3
83.5,65,29.8,1.00,1,3
82.7,66.5,29.8,1.00,1,1
82.3,69.6,29.8,1.00,1,9
82.1,69.7,29.8,1.00,1,4
79.3,70.4,29.7,1.00,1,3
82.1,77.6,29.8,1.00,1,7
83.1,73.5,29.7,1.00,1,5
82.2,70.8,29.7,1.00,1,7
81.7,74.9,29.7,1.00,1,2
82.5,72.3,29.8,1.00,1,2
83.4,70.2,29.8,1.00,1,4
84.4,66.6,29.8,1.00,1,7
83,70.5,29.8,1.00,1,5
79.8,82.9,29.8,1.00,1,4
81.6,72,29.9,1.00,1,7
82.9,68.2,29.9,1.00,1,6
83.4,65.7,29.9,1.00,1,7
82.2,68.3,29.9,1.00,1,3
82.4,66.7,29.9,1.00,1,3
83.5,64.4,29.9,1.00,1,9
83.8,61.4,29.8,1.00,1,9
83.4,65.5,29.8,1.00,1,5
83.7,69.6,29.8,1.00,1,8
83.5,69.2,29.8,1.00,1,0
84.1,65.3,29.8,1.00,1,3
83.9,66.5,29.8,1.00,1,7
83.5,64.6,29.7,1.00,1,6
83.5,68,29.7,1.00,1,4
83.3,66.6,29.7,1.00,1,5
83.3,65.5,29.7,1.00,1,5
84.2,71.9,29.7,1.00,1,4
85,74.3,29.7,1.00,1,7
82.6,80.4,29.7,1.00,1,7
83.1,79.7,29.7,1.00,1,0
84.1,79.3,29.7,1.00,1,6
85.7,72.4,29.7,1.00,1,7
86.5,70.3,29.7,1.00,1,2
85.5,76,29.7,1.00,1,2
86.4,72.5,29.7,1.00,1,0
86.7,66.3,29.7,1.00,1,8
86.3,68.8,29.8,1.00,1,1
86.7,66.3,29.8,1.00,1,1
87.2,66.8,29.8,1.00,1,3
86.3,70,29.8,1.00,1,6
86.7,65.8,29.8,1.00,1,4
87.2,64.4,29.8,1.00,1,3
86.5,65.9,29.8,1.00,1,7
86.1,65.2,29.8,1.00,1,5
86.2,68.4,29.8,1.00,1,4
