LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,47-09-06-48-56-17,249,50000000,0,6,9,17,47,48,56,2017-04-23
Ultra Lotto 6/58,03-27-23-29-47-57,250,50000000,0,3,23,27,29,47,57,2017-04-25
Ultra Lotto 6/58,14-44-46-56-31-16,251,50000000,0,14,16,31,44,46,56,2017-04-28
Ultra Lotto 6/58,33-38-29-57-31-53,252,50000000,0,29,31,33,38,53,57,2017-04-30
Ultra Lotto 6/58,22-34-25-23-18-33,253,50000000,0,18,22,23,25,33,34,2017-05-02
Ultra Lotto 6/58,26-33-58-56-39-37,254,50000000,0,26,33,37,39,56,58,2017-05-05
Ultra Lotto 6/58,31-52-44-57-21-45,255,50000000,0,21,31,44,45,52,57,2017-05-07
Ultra Lotto 6/58,18-15-58-30-07-05,256,50000000,0,5,7,15,18,30,58,2017-05-09
Ultra Lotto 6/58,02-16-11-49-18-03,257,50000000,0,2,3,11,16,18,49,2017-05-12
Ultra Lotto 6/58,56-13-58-17-20-08,258,50000000,0,8,13,17,20,56,58,2017-05-14
Ultra Lotto 6/58,08-26-48-41-47-39,259,51329860,0,8,26,39,41,47,48,2017-05-16
Ultra Lotto 6/58,30-11-50-54-28-15,260,54323568,0,11,15,28,30,50,54,2017-05-19
Ultra Lotto 6/58,05-08-45-09-46-36,261,57381244,0,5,8,9,36,45,46,2017-05-21
Ultra Lotto 6/58,22-33-21-57-14-41,262,59789192,0,14,21,22,33,41,57,2017-05-23
Ultra Lotto 6/58,58-47-43-22-44-12,263,62694664,0,12,22,43,44,47,58,2017-05-26
Ultra Lotto 6/58,36-17-39-35-40-11,264,65813936,0,11,17,35,36,39,40,2017-05-28
Ultra Lotto 6/58,03-21-54-15-20-12,265,68118984,0,3,12,15,20,21,54,2017-05-30
Ultra Lotto 6/58,47-32-53-02-45-11,266,71188576,0,2,11,32,45,47,53,2017-06-02
